,pop_id,pop_name,Strategic Bisnis Unit,Jenis PoP,Lokasi,Perangkat,Tahun,Mitra Perlaksana,Jumlah,Harga Satuan,BAPS,BASMP,Nilai,NOTES
0,POP_1MGT10015,POP_1MGT10015_MAOSPATI ULP ODC PLN,Jawa Timur,ODC,POP_1MGT10015_MAOSPATI ULP ODC PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,2,14935070,Kelengkapan Instalasi,Belum,29870140.0,SWAP
1,POP_1TRG10000,POP_1TRG10000_PERANGAT GH MIKRO POP PLN,Kalimantan,Micro POP,POP_1TRG10000_PERANGAT GH MIKRO POP PLN,EA ODC,2023,PT Abacus Kencana Industri,1,25800000,Kelengkapan Instalasi,Belum,25800000.0,SWAP
2,POP_1SMR10007,POP_1SMR10007_DINAS PERDAGANGAN,Kalimantan,Building,POP_1SMR10007_DINAS PERDAGANGAN,EA ODC,2023,PT Abacus Kencana Industri,1,25800000,Kelengkapan Instalasi,Belum,25800000.0,SWAP
3,POP_1TGT004,POP_1TGT004_LONGIKIS GI PLN,Kalimantan,Building,POP_1TGT004_LONGIKIS GI PLN,Inverter 1 KVA,2023,PT Abacus Kencana Industri,1,7040000,Kelengkapan Instalasi,Belum,7040000.0,SWAP
4,POP_1PNJ001,POP_1PNJ001 PETUNG GI SHELTER PLN,Kalimantan,Shelter,POP_1PNJ001 PETUNG GI SHELTER PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,2,15330000,Kelengkapan Instalasi,Belum,30660000.0,SWAP
5,POP_1SMG010,POP_1SMG010_KRAPYAK GI SHELTER PLN,Jawa Tengah,Shelter,POP_1SMG010_KRAPYAK GI SHELTER PLN,EA Shelter ,2023,PT Abacus Kencana Industri,1,14545460,Kelengkapan Instalasi,Belum,14545460.0,SWAP
6,POP_1SMG010,POP_1SMG010_KRAPYAK GI SHELTER PLN,Jawa Tengah,Shelter,POP_1SMG010_KRAPYAK GI SHELTER PLN,EA Shelter ,2023,PT Abacus Kencana Industri,1,14545460,Kelengkapan Instalasi,Belum,14545460.0,SWAP
7,POP_1SMG010,POP_1SMG010_KRAPYAK GI SHELTER PLN,Jawa Tengah,Shelter,POP_1SMG010_KRAPYAK GI SHELTER PLN,Inverter 1 KVA,2023,PT Abacus Kencana Industri,1,6857160,Kelengkapan Instalasi,Belum,6857160.0,SWAP
8,POP_1SMG010,POP_1SMG010_KRAPYAK GI SHELTER PLN,Jawa Tengah,Shelter,POP_1SMG010_KRAPYAK GI SHELTER PLN,RECT 9 Slot,2023,PT Abacus Kencana Industri,1,41038970,Kelengkapan Instalasi,Belum,41038970.0,SWAP
9,POP_1MAD10001,POP_1MAD10001_MADIUN UP3 SHELTER PLN,Jawa Timur,Shelter,POP_1MAD10001_MADIUN UP3 SHELTER PLN,RECT 9 Slot,2023,PT Abacus Kencana Industri,1,41038970,Kelengkapan Instalasi,Belum,41038970.0,SWAP
